DayNum,NumOT,OppLoc,OppScore,OppTeamID,Season,TeamLoc,TeamScore,TeamTeamID,Won
136,0,N,54,1234,1985,N,63,1116,1
136,0,N,63,1116,1985,N,54,1234,0
136,0,N,58,1345,1985,N,59,1120,1
136,0,N,59,1120,1985,N,58,1345,0
136,0,N,43,1250,1985,N,68,1207,1
136,0,N,68,1207,1985,N,43,1250,0
136,0,N,55,1425,1985,N,58,1229,1
136,0,N,58,1229,1985,N,55,1425,0
136,0,N,38,1325,1985,N,49,1242,1
136,0,N,49,1242,1985,N,38,1325,0
136,0,N,58,1449,1985,N,66,1246,1
136,0,N,66,1246,1985,N,58,1449,0
136,0,N,54,1338,1985,N,78,1256,1
136,0,N,78,1256,1985,N,54,1338,0
136,0,N,58,1233,1985,N,59,1260,1
136,0,N,59,1260,1985,N,58,1233,0
136,0,N,57,1292,1985,N,76,1314,1
136,0,N,76,1314,1985,N,57,1292,0
136,0,N,70,1333,1985,N,79,1323,1
136,0,N,79,1323,1985,N,70,1333,0
136,0,N,64,1235,1985,N,75,1326,1
136,0,N,75,1326,1985,N,64,1235,0
136,0,N,83,1299,1985,N,96,1328,1
136,0,N,96,1328,1985,N,83,1299,0
136,0,N,68,1330,1985,N,85,1374,1
136,0,N,85,1374,1985,N,68,1330,0
136,0,N,59,1380,1985,N,83,1385,1
136,0,N,83,1385,1985,N,59,1380,0
136,0,N,57,1439,1985,N,60,1396,1
136,0,N,60,1396,1985,N,57,1439,0
136,0,N,80,1361,1985,N,85,1424,1
136,0,N,85,1424,1985,N,80,1361,0
137,0,N,41,1112,1985,N,50,1104,1
137,0,N,50,1104,1985,N,41,1112,0
137,0,N,53,1403,1985,N,55,1130,1
137,0,N,55,1130,1985,N,53,1403,0
137,0,N,62,1337,1985,N,75,1181,1
137,0,N,75,1181,1985,N,62,1337,0
137,0,N,59,1455,1985,N,67,1208,1
137,0,N,67,1208,1985,N,59,1455,0
137,0,N,58,1273,1985,N,65,1210,1
137,0,N,65,1210,1985,N,58,1273,0
137,0,N,57,1318,1985,N,76,1228,1
137,0,N,76,1228,1985,N,57,1318,0
137,1,N,68,1275,1985,N,69,1268,1
137,1,N,69,1268,1985,N,68,1275,0
137,0,N,55,1335,1985,N,67,1272,1
137,0,N,67,1272,1985,N,55,1335,0
137,0,N,55,1192,1985,N,59,1276,1
137,0,N,59,1276,1985,N,55,1192,0
137,0,N,55,1261,1985,N,78,1298,1
137,0,N,78,1298,1985,N,55,1261,0
137,0,N,56,1305,1985,N,65,1301,1
137,0,N,65,1301,1985,N,56,1305,0
137,0,N,65,1177,1985,N,70,1393,1
137,0,N,70,1393,1985,N,65,1177,0
137,0,N,68,1277,1985,N,70,1412,1
137,0,N,70,1412,1985,N,68,1277,0
137,0,N,75,1409,1985,N,79,1431,1
137,0,N,79,1431,1985,N,75,1409,0
137,0,N,65,1267,1985,N,81,1433,1
137,0,N,81,1433,1985,N,65,1267,0
137,0,N,49,1173,1985,N,51,1437,1
137,0,N,51,1437,1985,N,49,1173,0
138,0,N,64,1242,1985,N,66,1120,1
138,0,N,66,1120,1985,N,64,1242,0
138,0,N,46,1396,1985,N,63,1207,1
138,0,N,63,1207,1985,N,46,1396,0
138,0,N,61,1424,1985,N,64,1246,1
138,0,N,64,1246,1985,N,61,1424,0
138,0,N,67,1326,1985,N,79,1256,1
138,0,N,79,1256,1985,N,67,1326,0
138,0,N,57,1374,1985,N,70,1260,1
138,0,N,70,1260,1985,N,57,1374,0
138,0,N,58,1323,1985,N,60,1314,1
138,0,N,60,1314,1985,N,58,1323,0
138,0,N,69,1229,1985,N,75,1328,1
138,0,N,75,1328,1985,N,69,1229,0
138,0,N,65,1116,1985,N,68,1385,1
138,0,N,68,1385,1985,N,65,1116,0
139,0,N,59,1433,1985,N,63,1104,1
139,0,N,63,1104,1985,N,59,1433,0
139,0,N,73,1181,1985,N,74,1130,1
139,0,N,74,1130,1985,N,73,1181,0
139,0,N,53,1393,1985,N,70,1210,1
139,0,N,70,1210,1985,N,53,1393,0
139,0,N,58,1208,1985,N,74,1228,1
139,0,N,74,1228,1985,N,58,1208,0
139,0,N,59,1298,1985,N,64,1268,1
139,0,N,64,1268,1985,N,59,1298,0
139,1,N,66,1412,1985,N,67,1272,1
139,1,N,67,1272,1985,N,66,1412,0
139,0,N,73,1431,1985,N,86,1301,1
139,0,N,86,1301,1985,N,73,1431,0
139,0,N,55,1276,1985,N,59,1437,1
139,0,N,59,1437,1985,N,55,1276,0
143,0,N,53,1260,1985,N,65,1207,1
143,0,N,65,1207,1985,N,53,1260,0
143,0,N,53,1228,1985,N,61,1210,1
143,0,N,61,1210,1985,N,53,1228,0
143,0,N,57,1130,1985,N,59,1272,1
143,0,N,59,1272,1985,N,57,1130,0
143,1,N,84,1256,1985,N,86,1328,1
143,1,N,86,1328,1985,N,84,1256,0
144,0,N,55,1104,1985,N,61,1301,1
144,0,N,61,1301,1985,N,55,1104,0
144,0,N,56,1120,1985,N,62,1314,1
144,0,N,62,1314,1985,N,56,1120,0
144,0,N,70,1246,1985,N,86,1385,1
144,0,N,86,1385,1985,N,70,1246,0
144,0,N,43,1268,1985,N,46,1437,1
144,0,N,46,1437,1985,N,43,1268,0
145,0,N,54,1210,1985,N,60,1207,1
145,0,N,60,1207,1985,N,54,1210,0
145,0,N,61,1328,1985,N,63,1272,1
145,0,N,63,1272,1985,N,61,1328,0
146,0,N,60,1301,1985,N,69,1385,1
146,0,N,69,1385,1985,N,60,1301,0
146,0,N,44,1314,1985,N,56,1437,1
146,0,N,56,1437,1985,N,44,1314,0
152,0,N,59,1385,1985,N,77,1207,1
152,0,N,77,1207,1985,N,59,1385,0
152,0,N,45,1272,1985,N,52,1437,1
152,0,N,52,1437,1985,N,45,1272,0
154,0,N,64,1207,1985,N,66,1437,1
154,0,N,66,1437,1985,N,64,1207,0
